model,epoch,loss,val_acc,val_f1,lr,time
ArtResNet,1,2.6015,17.46,14.39,1.00e-03,77.7
ArtResNet,2,2.3902,24.10,20.44,9.99e-04,82.5
ArtResNet,3,2.2944,24.30,19.81,9.98e-04,81.8
ArtResNet,4,2.2472,26.84,23.22,9.96e-04,82.6
ArtResNet,5,2.1636,25.28,23.02,9.94e-04,82.3
ArtResNet,6,2.1044,28.73,25.97,9.91e-04,82.3
ArtResNet,7,2.0399,26.64,23.76,9.88e-04,82.1
ArtResNet,8,2.0050,30.75,26.94,9.84e-04,82.5
ArtResNet,9,1.9795,30.16,26.37,9.80e-04,82.6
ArtResNet,10,1.9013,28.21,24.61,9.76e-04,82.0
ArtResNet,11,1.8906,33.29,30.63,9.70e-04,82.4
ArtResNet,12,1.8520,32.64,28.63,9.65e-04,82.2
ArtResNet,13,1.8125,35.18,32.43,9.59e-04,82.4
ArtResNet,14,1.7810,34.14,28.96,9.52e-04,82.1
ArtResNet,15,1.7345,34.59,31.90,9.46e-04,82.5
ArtResNet,16,1.7168,35.18,32.70,9.38e-04,82.8
ArtResNet,17,1.6920,34.98,32.57,9.30e-04,82.4
ArtResNet,18,1.6684,37.85,34.29,9.22e-04,82.6
ArtResNet,19,1.6219,38.31,36.18,9.14e-04,82.9
ArtResNet,20,1.5891,38.18,35.61,9.05e-04,82.6
ArtResNet,21,1.5810,35.96,32.63,8.95e-04,82.0
ArtResNet,22,1.5626,35.44,31.37,8.85e-04,82.6
ArtResNet,23,1.5185,39.74,36.35,8.75e-04,83.3
ArtResNet,24,1.5063,37.92,35.10,8.64e-04,82.7
ArtResNet,25,1.4803,37.52,35.90,8.54e-04,82.7
ArtResNet,26,1.4585,42.02,39.15,8.42e-04,82.9
ArtResNet,27,1.4442,39.67,37.00,8.31e-04,82.7
ArtResNet,28,1.4306,36.16,32.96,8.19e-04,82.8
ArtResNet,29,1.4077,40.78,38.81,8.06e-04,82.7
ArtResNet,30,1.3772,40.78,39.75,7.94e-04,83.0
ArtResNet,31,1.3383,37.59,35.17,7.81e-04,83.7
ArtResNet,32,1.3170,40.72,37.95,7.68e-04,82.9
ArtResNet,33,1.3146,40.33,36.70,7.55e-04,83.1
ArtResNet,34,1.2723,42.93,41.34,7.41e-04,83.2
ArtResNet,35,1.2542,41.17,38.47,7.27e-04,83.5
ArtResNet,36,1.2283,41.37,37.63,7.13e-04,83.7
ArtResNet,37,1.2163,41.56,39.26,6.99e-04,82.8
ArtResNet,38,1.2073,38.70,34.81,6.84e-04,83.2
ArtResNet,39,1.1971,42.41,38.76,6.69e-04,84.3
ArtResNet,40,1.1689,43.26,41.57,6.55e-04,83.9
ArtResNet,41,1.1519,42.61,40.16,6.39e-04,83.6
ArtResNet,42,1.1427,44.89,43.35,6.24e-04,83.7
ArtResNet,43,1.1122,44.04,41.60,6.09e-04,83.8
ArtResNet,44,1.0929,42.41,40.71,5.94e-04,83.4
ArtResNet,45,1.0781,41.11,38.14,5.78e-04,84.3
ArtResNet,46,1.0481,40.07,38.12,5.63e-04,84.1
ArtResNet,47,1.0338,44.63,42.37,5.47e-04,84.2
ArtResNet,48,1.0189,43.52,41.96,5.31e-04,83.9
ArtResNet,49,0.9988,42.61,39.41,5.16e-04,84.5
ArtResNet,50,0.9894,42.21,38.96,5.00e-04,83.7
ArtResNet,51,0.9679,41.50,38.30,4.84e-04,83.8
ArtResNet,52,0.9473,43.71,40.93,4.69e-04,83.6
ArtResNet,53,0.9542,43.65,41.80,4.53e-04,83.9
ArtResNet,54,0.9284,44.43,41.47,4.37e-04,84.5
ArtResNet,55,0.9051,43.06,39.64,4.22e-04,84.0
ArtResNet,56,0.8929,43.19,38.36,4.06e-04,84.4
ArtResNet,57,0.8894,43.52,41.79,3.91e-04,84.2
ArtConvGRU,1,2.5924,18.44,13.37,1.00e-03,53.3
ArtConvGRU,2,2.4107,18.24,16.41,9.99e-04,52.8
ArtConvGRU,3,2.2942,18.89,17.37,9.98e-04,53.1
ArtConvGRU,4,2.2165,24.30,21.57,9.96e-04,53.2
ArtConvGRU,5,2.1615,25.80,23.09,9.94e-04,53.3
ArtConvGRU,6,2.0875,27.30,23.41,9.91e-04,52.8
ArtConvGRU,7,2.0361,27.56,24.54,9.88e-04,53.4
ArtConvGRU,8,1.9563,30.75,28.11,9.84e-04,53.2
ArtConvGRU,9,1.9105,28.73,25.42,9.80e-04,53.5
ArtConvGRU,10,1.8549,30.62,27.95,9.76e-04,54.6
ArtConvGRU,11,1.8218,31.86,28.36,9.70e-04,54.2
ArtConvGRU,12,1.7946,35.31,32.72,9.65e-04,54.1
ArtConvGRU,13,1.7730,33.81,31.20,9.59e-04,55.0
ArtConvGRU,14,1.7290,34.53,32.85,9.52e-04,55.0
ArtConvGRU,15,1.6990,34.92,31.73,9.46e-04,55.6
ArtConvGRU,16,1.6677,36.03,32.39,9.38e-04,54.5
ArtConvGRU,17,1.6405,35.83,33.62,9.30e-04,53.7
ArtConvGRU,18,1.6225,34.14,32.63,9.22e-04,53.6
ArtConvGRU,19,1.5661,34.46,32.87,9.14e-04,54.1
ArtConvGRU,20,1.5575,35.70,32.01,9.05e-04,53.6
ArtConvGRU,21,1.5406,35.05,32.08,8.95e-04,53.6
ArtConvGRU,22,1.5115,36.16,34.27,8.85e-04,53.3
ArtConvGRU,23,1.4885,36.94,35.51,8.75e-04,54.1
ArtConvGRU,24,1.4557,38.37,34.94,8.64e-04,54.2
ArtConvGRU,25,1.4344,37.46,35.59,8.54e-04,53.9
ArtConvGRU,26,1.4323,37.00,34.42,8.42e-04,53.6
ArtConvGRU,27,1.4144,37.79,35.66,8.31e-04,54.2
ArtConvGRU,28,1.3985,36.81,33.94,8.19e-04,53.5
ArtConvGRU,29,1.3692,38.31,35.72,8.06e-04,53.2
ArtConvGRU,30,1.3476,36.94,35.42,7.94e-04,52.9
ArtConvGRU,31,1.3424,38.57,35.97,7.81e-04,53.6
ArtConvGRU,32,1.3206,36.29,35.27,7.68e-04,53.5
ArtConvGRU,33,1.3235,40.00,36.66,7.55e-04,53.3
ArtConvGRU,34,1.2896,39.61,38.45,7.41e-04,52.5
ArtConvGRU,35,1.2605,38.05,36.70,7.27e-04,53.0
ArtConvGRU,36,1.2630,38.11,35.59,7.13e-04,52.0
ArtConvGRU,37,1.2306,36.74,33.60,6.99e-04,53.4
ArtConvGRU,38,1.2337,36.42,34.41,6.84e-04,52.7
ArtConvGRU,39,1.2161,36.68,35.84,6.69e-04,53.2
ArtConvGRU,40,1.2063,36.68,34.46,6.55e-04,52.7
ArtConvGRU,41,1.2015,37.59,36.06,6.39e-04,52.4
ArtConvGRU,42,1.1740,37.13,34.78,6.24e-04,52.9
ArtConvGRU,43,1.1596,39.67,37.51,6.09e-04,52.5
ArtConvGRU,44,1.1407,39.35,37.92,5.94e-04,52.0
ArtConvGRU,45,1.1369,38.76,37.62,5.78e-04,52.8
ArtConvGRU,46,1.1226,38.18,37.20,5.63e-04,52.5
ArtConvGRU,47,1.1008,39.48,37.75,5.47e-04,52.5
ArtConvGRU,48,1.0776,39.02,37.63,5.31e-04,51.9
ArtConvGRU,49,1.0773,38.83,36.64,5.16e-04,52.8
ViT_Pretrained,1,2.7160,22.15,20.38,4.99e-05,53.3
ViT_Pretrained,2,2.3690,28.34,26.55,4.95e-05,53.6
ViT_Pretrained,3,2.1482,32.70,30.45,4.88e-05,52.3
ViT_Pretrained,4,1.6316,47.23,44.42,9.97e-06,88.3
ViT_Pretrained,5,1.3203,51.40,51.00,9.87e-06,88.8
ViT_Pretrained,6,1.1560,54.72,54.42,9.70e-06,88.7
ViT_Pretrained,7,1.0490,57.59,57.98,9.47e-06,88.9
ViT_Pretrained,8,0.9609,57.46,58.91,9.18e-06,89.2
ViT_Pretrained,9,0.8794,58.96,59.83,8.83e-06,88.9
ViT_Pretrained,10,0.8206,59.15,60.39,8.43e-06,89.4
ViT_Pretrained,11,0.7618,59.54,60.42,7.99e-06,89.0
